,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
48,.1~49,49,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F01,500g Nut Muesli,12,Grocery chains,9.90,EUR
49,.1~50,50,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
50,.1~51,51,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F02,500g Blueberry Muesli,12,Grocery chains,10.23,EUR
51,.1~52,52,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
52,.1~53,53,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F03,500g Strawberry Muesli,12,Grocery chains,10.23,EUR
53,.1~54,54,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
54,.1~55,55,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F04,500g Raisin Muesli,12,Grocery chains,9.79,EUR
55,.1~56,56,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
56,.1~57,57,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F05,500g Original Muesli,12,Grocery chains,9.77,EUR
57,.1~58,58,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
58,.1~59,59,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,10.13,EUR
59,.1~60,60,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
60,.1~61,61,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F11,1kg Nut Muesli,10,Hypermarket,9.61,EUR
61,.1~62,62,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F11,1kg Nut Muesli,12,Grocery chains,10.61,EUR
62,.1~63,63,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F12,1kg Blueberry Muesli,10,Hypermarket,10.26,EUR
63,.1~64,64,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F12,1kg Blueberry Muesli,12,Grocery chains,11.26,EUR
64,.1~65,65,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F13,1kg Strawberry Muesli,10,Hypermarket,10.27,EUR
65,.1~66,66,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F13,1kg Strawberry Muesli,12,Grocery chains,11.27,EUR
66,.1~67,67,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F14,1kg Raisin Muesli,10,Hypermarket,9.38,EUR
67,.1~68,68,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F14,1kg Raisin Muesli,12,Grocery chains,10.38,EUR
68,.1~69,69,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F15,1kg Original Muesli,10,Hypermarket,9.35,EUR
69,.1~70,70,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F15,1kg Original Muesli,12,Grocery chains,10.35,EUR
70,.1~71,71,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F16,1kg Mixed Fruit Muesli,10,Hypermarket,10.06,EUR
71,.1~72,72,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F16,1kg Mixed Fruit Muesli,12,Grocery chains,11.06,EUR
72,.1~73,73,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F01,500g Nut Muesli,12,Grocery chains,9.90,EUR
73,.1~74,74,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
74,.1~75,75,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F02,500g Blueberry Muesli,12,Grocery chains,10.23,EUR
75,.1~76,76,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
76,.1~77,77,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F03,500g Strawberry Muesli,12,Grocery chains,10.23,EUR
77,.1~78,78,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
78,.1~79,79,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F04,500g Raisin Muesli,12,Grocery chains,9.79,EUR
79,.1~80,80,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
80,.1~81,81,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F05,500g Original Muesli,12,Grocery chains,9.77,EUR
81,.1~82,82,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
82,.1~83,83,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,10.13,EUR
83,.1~84,84,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
84,.1~85,85,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F11,1kg Nut Muesli,10,Hypermarket,9.61,EUR
85,.1~86,86,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F11,1kg Nut Muesli,12,Grocery chains,10.61,EUR
86,.1~87,87,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F12,1kg Blueberry Muesli,10,Hypermarket,10.26,EUR
