,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
96,.1~97,97,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
97,.1~98,98,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
98,.1~99,99,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
99,.1~100,100,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
100,.1~101,101,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
101,.1~102,102,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
102,.1~103,103,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
103,.1~104,104,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
104,.1~105,105,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
105,.1~106,106,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
106,.1~107,107,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
107,.1~108,108,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
108,.1~109,109,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F11,1kg Nut Muesli,10,Hypermarket,6.28,EUR
109,.1~110,110,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F11,1kg Nut Muesli,12,Grocery chains,6.61,EUR
110,.1~111,111,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F12,1kg Blueberry Muesli,10,Hypermarket,6.90,EUR
111,.1~112,112,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F12,1kg Blueberry Muesli,12,Grocery chains,7.26,EUR
112,.1~113,113,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F13,1kg Strawberry Muesli,10,Hypermarket,6.91,EUR
113,.1~114,114,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F13,1kg Strawberry Muesli,12,Grocery chains,7.27,EUR
114,.1~115,115,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F14,1kg Raisin Muesli,10,Hypermarket,6.06,EUR
115,.1~116,116,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F14,1kg Raisin Muesli,12,Grocery chains,6.38,EUR
116,.1~117,117,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F15,1kg Original Muesli,10,Hypermarket,6.03,EUR
117,.1~118,118,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F15,1kg Original Muesli,12,Grocery chains,6.35,EUR
118,.1~119,119,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F16,1kg Mixed Fruit Muesli,10,Hypermarket,6.71,EUR
119,.1~120,120,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F16,1kg Mixed Fruit Muesli,12,Grocery chains,7.06,EUR
120,.1~121,121,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
121,.1~122,122,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
122,.1~123,123,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
123,.1~124,124,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
124,.1~125,125,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
