,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
674,.1~253,253,C2,Market,01,4,500g Strawberry Muesli,14,South,4648,ST,6.23,28957.04,EUR
675,.1~255,255,C2,Market,01,4,500g Strawberry Muesli,14,West,5618,ST,6.23,35000.14,EUR
676,.1~257,257,C2,Market,02,5,1kg Blueberry Muesli,10,South,3711,ST,6.90,25605.90,EUR
677,.1~259,259,C2,Market,02,5,1kg Blueberry Muesli,10,West,783,ST,6.90,5402.70,EUR
678,.1~261,261,C2,Market,02,5,1kg Mixed Fruit Muesli,10,North,2682,ST,7.06,18934.92,EUR
679,.1~263,263,C2,Market,02,5,1kg Mixed Fruit Muesli,10,West,1858,ST,7.06,13117.48,EUR
680,.1~265,265,C2,Market,02,5,1kg Nut Muesli,10,North,1883,ST,6.28,11825.24,EUR
681,.1~267,267,C2,Market,02,5,1kg Nut Muesli,10,South,7712,ST,6.28,48431.36,EUR
682,.1~269,269,C2,Market,02,5,1kg Nut Muesli,10,West,4914,ST,6.28,30859.92,EUR
683,.1~271,271,C2,Market,02,5,1kg Original Muesli,10,North,1974,ST,6.35,12534.90,EUR
684,.1~273,273,C2,Market,02,5,1kg Original Muesli,10,West,3326,ST,6.35,21120.10,EUR
685,.1~275,275,C2,Market,02,5,1kg Raisin Muesli,10,North,2020,ST,6.38,12887.60,EUR
686,.1~277,277,C2,Market,02,5,1kg Raisin Muesli,10,South,3045,ST,6.38,19427.10,EUR
687,.1~279,279,C2,Market,02,5,1kg Raisin Muesli,10,West,1983,ST,6.38,12651.54,EUR
688,.1~281,281,C2,Market,02,5,1kg Strawberry Muesli,10,North,4157,ST,7.27,30221.39,EUR
689,.1~283,283,C2,Market,02,5,1kg Strawberry Muesli,10,West,1585,ST,7.27,11522.95,EUR
690,.1~285,285,C2,Market,02,5,1kg Blueberry Muesli,12,North,6452,ST,7.26,46841.52,EUR
691,.1~287,287,C2,Market,02,5,1kg Blueberry Muesli,12,South,4396,ST,7.26,31914.96,EUR
692,.1~289,289,C2,Market,02,5,1kg Blueberry Muesli,12,West,5284,ST,7.26,38361.84,EUR
693,.1~291,291,C2,Market,02,5,1kg Mixed Fruit Muesli,12,North,2764,ST,7.06,19513.84,EUR
694,.1~293,293,C2,Market,02,5,1kg Mixed Fruit Muesli,12,South,6477,ST,7.06,45727.62,EUR
695,.1~295,295,C2,Market,02,5,1kg Mixed Fruit Muesli,12,West,1779,ST,7.06,12559.74,EUR
696,.1~297,297,C2,Market,02,5,1kg Nut Muesli,12,North,8372,ST,6.61,55338.92,EUR
697,.1~299,299,C2,Market,02,5,1kg Nut Muesli,12,South,9446,ST,6.61,62438.06,EUR
698,.1~301,301,C2,Market,02,5,1kg Nut Muesli,12,West,12775,ST,6.61,84442.75,EUR
699,.1~303,303,C2,Market,02,5,1kg Original Muesli,12,South,891,ST,6.35,5657.85,EUR
700,.1~305,305,C2,Market,02,5,1kg Original Muesli,12,West,976,ST,6.35,6197.60,EUR
701,.1~307,307,C2,Market,02,5,1kg Raisin Muesli,12,North,5744,ST,6.38,36646.72,EUR
702,.1~309,309,C2,Market,02,5,1kg Raisin Muesli,12,South,6715,ST,6.38,42841.70,EUR
703,.1~311,311,C2,Market,02,5,1kg Raisin Muesli,12,West,6553,ST,6.38,41808.14,EUR
704,.1~313,313,C2,Market,02,5,1kg Strawberry Muesli,12,North,3642,ST,7.27,26477.34,EUR
705,.1~315,315,C2,Market,02,5,1kg Strawberry Muesli,12,South,2754,ST,7.27,20021.58,EUR
706,.1~317,317,C2,Market,02,5,1kg Strawberry Muesli,12,West,4488,ST,7.27,32627.76,EUR
707,.1~319,319,C2,Market,02,5,500g Blueberry Muesli,12,North,4063,ST,6.23,25312.49,EUR
708,.1~321,321,C2,Market,02,5,500g Blueberry Muesli,12,South,7978,ST,6.23,49702.94,EUR
709,.1~323,323,C2,Market,02,5,500g Blueberry Muesli,12,West,5535,ST,6.23,34483.05,EUR
710,.1~325,325,C2,Market,02,5,500g Nut Muesli,12,North,2044,ST,5.90,12059.60,EUR
711,.1~327,327,C2,Market,02,5,500g Nut Muesli,12,West,919,ST,5.90,5422.10,EUR
712,.1~329,329,C2,Market,02,5,500g Raisin Muesli,12,North,3227,ST,5.79,18684.33,EUR
713,.1~331,331,C2,Market,02,5,500g Raisin Muesli,12,South,2183,ST,5.79,12639.57,EUR
714,.1~333,333,C2,Market,02,5,500g Raisin Muesli,12,West,6446,ST,5.79,37322.34,EUR
