,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
347,.1~679,679,C2,02,11,02/11,2024-01-31T00:00:00,7,31,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,29742.950,KG
348,.1~437,437,C2,01,20,01/20,2024-01-20T00:00:00,4,20,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,3200.000,KG
349,.1~261,261,C2,01,12,01/12,2024-01-12T00:00:00,3,12,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,10500.600,KG
350,.1~305,305,C2,01,14,01/14,2024-01-14T00:00:00,3,14,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,5133.600,KG
351,.1~503,503,C2,02,03,02/03,2024-01-23T00:00:00,5,23,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,3200.000,KG
352,.1~635,635,C2,02,09,02/09,2024-01-29T00:00:00,6,29,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,34000.000,KG
353,.1~19,19,C2,01,01,01/01,2024-01-01T00:00:00,1,1,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,0.000,KG
354,.1~899,899,C2,03,01,03/01,2024-02-10T00:00:00,9,41,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,2650.000,KG
355,.1~657,657,C2,02,10,02/10,2024-01-30T00:00:00,6,30,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,34000.000,KG
356,.1~283,283,C2,01,13,01/13,2024-01-13T00:00:00,3,13,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,7733.600,KG
357,.1~393,393,C2,01,18,01/18,2024-01-18T00:00:00,4,18,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,3200.000,KG
358,.1~547,547,C2,02,05,02/05,2024-01-25T00:00:00,5,25,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,37200.000,KG
