,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_CODE,YIELD,UNIT
288,.1~366,366,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
289,.1~99,99,C2,01,09,01/09,2024-01-09T00:00:00,2,9,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
290,.1~300,300,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,1.4994E4,ST
291,.1~359,359,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
292,.1~154,154,C2,01,13,01/13,2024-01-13T00:00:00,3,13,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
293,.1~171,171,C2,01,15,01/15,2024-01-15T00:00:00,3,15,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
294,.1~286,286,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
295,.1~345,345,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
296,.1~116,116,C2,01,10,01/10,2024-01-10T00:00:00,2,10,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
297,.1~159,159,C2,01,14,01/14,2024-01-14T00:00:00,3,14,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
298,.1~135,135,C2,01,12,01/12,2024-01-12T00:00:00,3,12,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
299,.1~128,128,C2,01,11,01/11,2024-01-11T00:00:00,3,11,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
300,.1~328,328,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
301,.1~210,210,C2,01,18,01/18,2024-01-18T00:00:00,4,18,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
302,.1~28,28,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
303,.1~438,438,C2,02,17,02/17,2024-02-06T00:00:00,8,37,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
304,.1~236,236,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
305,.1~39,39,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
306,.1~24,24,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
307,.1~454,454,C2,02,18,02/18,2024-02-07T00:00:00,8,38,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
308,.1~459,459,C2,02,19,02/19,2024-02-08T00:00:00,8,39,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
309,.1~249,249,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
310,.1~426,426,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
311,.1~226,226,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
312,.1~399,399,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
313,.1~7,7,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
314,.1~65,65,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
